data_riferimento,scadenza,strike,tipo,significativo,ora,spot_preciso,nota,volume,oi,settle,notional_stimato_eur,spot,moneyness,oi_giorno_precedente,delta_oi,stato_conferma
2026-08-18,2026-10-16,43000,Put,true,,,,951,,78,185445,53017.85,0.811047600006413,,,in attesa (nessun file precedente in cartella)
2026-08-18,2026-09-18,42000,Put,true,,,,1130,,21,59325,53017.85,0.7921860279132406,,,in attesa (nessun file precedente in cartella)
2026-08-17,2026-12-18,54000,Put,true,,,,1000,3500,2279,5697500,53586.98,1.0077074692397294,2500,1000,Confermato (OI in aumento)
2026-08-17,2026-12-18,54000,Call,true,,,,1000,3589,1758,4395000,53586.98,1.0077074692397294,2589,1000,Confermato (OI in aumento)
2026-08-17,2026-09-18,54000,Call,true,,,,503,666,734,923005,53586.98,1.0077074692397294,365,301,Confermato (OI in aumento)
2026-08-17,2026-09-18,55000,Call,true,,,,172,327,343,147490,53586.98,1.0263687186700947,205,122,Confermato (OI in aumento)
2026-08-17,2026-09-18,56000,Call,true,,,,102,309,132,33660,53586.98,1.0450299681004602,209,100,Confermato (OI in aumento)
2026-08-17,2026-08-21,53000,Put,true,,,,132,209,73,24090,53586.98,0.989046219809364,95,114,Confermato (OI in aumento)
2026-08-17,2026-09-18,57000,Call,true,,,,156,293,48,18720,53586.98,1.0636912175308255,138,155,Confermato (OI in aumento)
2026-08-17,2026-09-18,46000,Put,true,,,,101,214,43,10857.5,53586.98,0.8584174737968066,214,0,Non confermato (OI stabile)
2026-08-17,2026-08-21,52400,Put,true,,,,110,119,25,6875,53586.98,0.9778494701511448,19,100,Confermato (OI in aumento)
2026-08-12,2027-06-18,56000,Call,true,,,,300,300,2245,1683750,53698.65,1.0428567571065566,0,300,Confermato (OI in aumento)
2026-08-12,2026-12-18,53500,Put,true,,,,150,220,2064,774000,53698.65,0.9963006518785854,70,150,Confermato (OI in aumento)
2026-08-11,2026-09-18,53000,Call,true,,,,401,238,1541,1544852.5,53706.2,0.9868506801821764,637,-399,Chiusura posizioni (OI in calo)
2026-08-11,2026-08-21,53500,Call,true,,,,402,73,582,584910,53706.2,0.9961605922593668,457,-384,Chiusura posizioni (OI in calo)
2026-08-06,2026-12-18,54000,Put,true,,,,2502,2500,2332,14586660,53682.71,1.0059104691249752,0,2500,Confermato (OI in aumento)
2026-08-06,2026-12-18,54000,Call,true,,,,2507,2589,1954,12246695,53682.71,1.0059104691249752,103,2486,Confermato (OI in aumento)
2026-08-06,2026-12-18,44000,Put,true,,,,188,472,319,149930,53682.71,0.8196307526203502,393,79,Confermato (OI in aumento)
2026-08-04,2026-08-21,54300,Call,true,,,,120,52,320,96000,53540.5,1.0141855231086747,10,42,Confermato (OI in aumento)
2026-08-04,2026-08-21,55000,Call,true,,,,136,418,140,47600,53540.5,1.0272597379553796,404,14,Non confermato (OI stabile)
2026-07-31,2030-12-20,44000,Put,true,,,,200,600,5370,2685000,52172.53,0.8433556892870635,400,200,Confermato (OI in aumento)
2026-07-31,2026-09-18,45000,Put,true,,,,250,804,110,68750,52172.53,0.8625228640435877,631,173,Confermato (OI in aumento)
