time,open,high,low,close
2023-02-20,27843.311,27851.561,27589.609,27597.01
2023-02-21,27523.971,27575.461,27156.76,27409.34
2023-02-22,27362.1,27388.74,26867.5,27101.529
2023-02-23,27180.711,27449.23,27131.5,27277.619
2023-02-24,27376.859,27413.24,26960.65,26986.35
2023-02-27,27215.07,27541.641,27202.029,27444.311
2023-02-28,27345.221,27654.75,27252.711,27478.369
2023-03-01,27560.73,27704.801,27275.43,27315.08
2023-03-02,27233.859,27426.279,27035.971,27397.6
2023-03-03,27572.07,27839.109,27560.52,27825.08
2023-03-06,27947.98,28049.84,27827.85,27949.289
2023-03-07,27888.301,28017.76,27756.641,27761.57
2023-03-08,27668.711,27922.029,27664.131,27911.52
2023-03-09,27918.57,27948.68,27559.279,27710.529
2023-03-10,27139.99,27319.711,26981.789,27281.961
2023-03-13,27201.561,27201.561,25994.811,26183.539
2023-03-14,26195.93,26844.16,26086.84,26800.98
2023-03-15,26694.859,26859.67,25513.32,25565.84
2023-03-16,25979.721,26175.461,25305.52,25918.76
2023-03-17,26144.67,26372.42,25330.391,25494.539
2023-03-20,25246.01,25999.971,24751.07,25899.57
2023-03-21,26184.5,26694.369,26169.41,26554.33
2023-03-22,26518.52,26678.4,26439.119,26523.33
2023-03-23,26457.859,26606.75,26248.24,26482.211
2023-03-24,26291.66,26310.73,25708.619,25892.18
2023-03-27,26273.57,26349.221,25997.99,26206.67
2023-03-28,26482.93,26498.58,26161,26329.461
2023-03-29,26459.84,26741.301,26419.721,26739.01
2023-03-30,26888.82,27107.789,26856.93,27021.039
2023-03-31,27023.119,27185.76,26882.631,27113.949
2023-04-03,27183.07,27314.57,27155.881,27179.369
2023-04-04,27250.27,27342.961,27013.189,27026.561
2023-04-05,27020.02,27081.801,26782.98,26867.391
2023-04-06,26956.98,27221.75,26951.939,27213.859
2023-04-11,27432.65,27525.51,27362.92,27525.51
2023-04-12,27533.43,27951.52,27518.25,27629.34
2023-04-13,27684.4,27711.32,27509.529,27626.609
2023-04-14,27742.4,27931.789,27693.58,27872.24
2023-04-17,27939.301,28109.619,27699.789,27700.211
2023-04-18,27850.73,28007.93,27732.15,27891.43
