time,open,high,low,close
2019-12-16,23436.289,23549.6,23388.119,23524.76
2019-12-17,23535.619,23716.58,23481.76,23630.77
2019-12-18,23645.91,23738.051,23627.211,23628.869
2019-12-19,23647.051,23710.17,23583.119,23708.939
2019-12-20,23842.279,24003.641,23836.961,24003.641
2019-12-23,23918.551,23941.26,23845.211,23898.42
2019-12-27,23867.961,23898.6,23732.27,23757.6
2019-12-30,23712.109,23735.93,23506.369,23506.369
2020-01-02,23606.971,23861.99,23571.59,23836.26
2020-01-03,23709.9,23759.891,23516.811,23702.35
2020-01-06,23565.92,23607.539,23265.211,23581.289
2020-01-07,23688.25,23793.67,23635.9,23723.381
2020-01-08,23550.609,23893.01,23480.619,23832.02
2020-01-09,23979.65,24078.289,23963.51,24016.699
2020-01-10,24061.43,24146.551,23966.359,24021.4
2020-01-13,24061.449,24061.449,23829.41,23896.59
2020-01-14,23931.939,23947.971,23706.43,23928.211
2020-01-15,23902.76,23931.801,23719.449,23763.859
2020-01-16,23861.551,23960.789,23760.301,23940.41
2020-01-17,24042.6,24168.66,24010.859,24141.07
2020-01-20,24032.65,24084.939,23973.43,24002.449
2020-01-21,23858.029,23860.16,23645.301,23845.279
2020-01-22,23887.83,23906.789,23680.4,23706.289
2020-01-23,23716.43,23901.15,23611.199,23707.051
2020-01-24,23848.461,24083.131,23848.461,23969.131
2020-01-27,23713.119,23977.561,23384.039,23416.131
2020-01-28,23544.561,24027.631,23429.189,24027.631
2020-01-29,24052.971,24197.66,23969.029,24164.73
2020-01-30,23892.301,23982.66,23687.641,23781.1
2020-01-31,23863.15,23873.051,23207.9,23237.029
2020-02-03,23297.09,23466.34,23218.721,23460.01
2020-02-04,23572.77,23900.76,23542.061,23844.85
2020-02-05,23815.721,24270.461,23745.98,24236.631
2020-02-06,24347.99,24513.811,24338.09,24490.35
2020-02-07,24465.18,24523.42,24371.83,24478.32
2020-02-10,24437.061,24585.131,24388.881,24507.699
2020-02-11,24616.66,24762.66,24533.75,24688.891
2020-02-12,24738.211,24901.59,24734.869,24861.279
2020-02-13,24769.051,24892.15,24588.461,24892.15
2020-02-14,24942.1,24983.119,24831.961,24867.01
2020-02-17,24961.76,25120.539,24903,25120.539
2020-02-18,24985.711,25389.461,24969.75,25223.51
2020-02-19,25352.689,25483.051,25271.721,25477.551
2020-02-20,25414.77,25419.961,25080.16,25080.16
2020-02-21,24979.32,25129.98,24670.24,24773.15
2020-02-24,23918.6,24005.211,23255.26,23427.189
2020-02-25,23585.59,23630.43,23046.189,23090.439
2020-02-26,22961.01,23599.85,22637.93,23422.539
2020-02-27,22968.631,23077.82,22479.6,22799.369
2020-02-28,22058.99,22334.721,21697.939,21984.211
2020-03-02,22333.17,22361.131,21118.83,21655.09
2020-03-03,22116.279,22340.461,21651.359,21748.199
2020-03-04,21739.801,22204.01,21499.93,21946.029
2020-03-05,22011.67,22034.939,21362.09,21554.881
2020-03-06,20986.891,21151.359,20624.42,20799.891
2020-03-09,20780.869,20780.869,18346.4,18475.91
2020-03-10,18653.9,19174.77,17771.881,17870.18
2020-03-11,18171.76,18410.289,17674.689,17928.641
2020-03-12,17654.039,17659.859,14894.44,14894.44
2020-03-13,15108.11,17545.439,15106.6,15954.29
2020-03-16,15697.47,15699.27,14153.09,14980.34
2020-03-17,15420.49,15809.66,14695.72,15314.77
2020-03-18,14985.81,15438.23,14791.72,15120.48
2020-03-19,15417.2,15844.08,15038.08,15466.97
2020-03-20,15772.98,16180.17,15616.9,15731.85
2020-03-23,15318.26,15788.7,15091.98,15559.8
2020-03-24,15977.53,16948.6,15969.74,16948.6
2020-03-25,17246.83,17830.359,16581.76,17243.68
2020-03-26,16876.51,17369.381,16834.789,17369.381
2020-03-27,17039.449,17283.439,16666.74,16822.59
2020-03-30,16855.939,16925.07,16312.9,16872.41
2020-03-31,17096.961,17292.15,16694.891,17050.939
2020-04-01,16600.061,16845.15,16500.42,16544.971
2020-04-02,16660.09,16878.301,16413.721,16834.029
2020-04-03,16742.07,16791.08,16384.35,16384.35
2020-04-06,16769.131,17053.91,16764.811,17039.311
2020-04-07,17587.811,17887.119,17177.73,17411.721
2020-04-08,17212.381,17405.789,17196.029,17380.82
2020-04-09,17685.561,17756.01,17360.48,17621.619
