
 
Aug 2026 Prices - 17 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
36000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	15869.00 	0 	0
36000 	P 	7.00 	8.00 	7.00 	8.00 	60.00 	10.00 	2 	38
36500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	15371.00 	0 	0
36500 	P 	8.00 	9.00 	8.00 	9.00 	50.00 	10.00 	2 	5
37000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14873.00 	0 	0
37000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	11.00 	0 	15
37500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14376.00 	0 	0
37500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	13.00 	0 	3
38000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13877.00 	0 	1
38000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	13.00 	0 	1
38500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13380.00 	0 	0
38500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	15.00 	0 	0
39000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12885.00 	0 	0
39000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	17.00 	0 	31
39500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12387.00 	0 	0
39500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	18.00 	0 	6
40000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11891.00 	0 	0
40000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	21.00 	0 	9
40500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11394.00 	0 	0
40500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	23.00 	0 	92
41000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10898.00 	0 	0
41000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	26.00 	0 	13
41500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10402.00 	0 	0
41500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	29.00 	0 	8
42000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9908.00 	0 	0
42000 	P 	40.00 	40.00 	40.00 	40.00 	53.85 	33.00 	1 	1215
42500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9412.00 	0 	0
42500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	36.00 	0 	7
43000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8919.00 	0 	1
43000 	P 	51.00 	53.00 	51.00 	51.00 	45.71 	41.00 	9 	51
43500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8426.00 	0 	0
43500 	P 	61.00 	61.00 	61.00 	61.00 	52.50 	48.00 	1 	1
44000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	7935.00 	0 	0
44000 	P 	62.00 	63.00 	62.00 	63.00 	36.96 	55.00 	11 	43
44500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	7440.00 	0 	0
44500 	P 	70.00 	70.00 	68.00 	68.00 	30.77 	59.00 	3 	457
45000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	6955.00 	0 	1
45000 	P 	86.00 	86.00 	84.00 	84.00 	42.37 	73.00 	2 	256
45500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	6468.00 	0 	0
45500 	P 	80.00 	82.00 	80.00 	82.00 	20.59 	84.00 	2 	11
46000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5982.00 	0 	3
46000 	P 	100.00 	124.00 	90.00 	104.00 	31.65 	97.00 	70 	159
46500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5502.00 	0 	0
46500 	P 	116.00 	132.00 	112.00 	122.00 	31.18 	116.00 	41 	371
47000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5025.00 	0 	1
47000 	P 	130.00 	174.00 	128.00 	144.00 	32.11 	137.00 	17 	115
47500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4557.00 	0 	1
47500 	P 	154.00 	214.00 	154.00 	200.00 	55.04 	168.00 	26 	64
48000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4095.00 	0 	0
48000 	P 	190.00 	264.00 	190.00 	226.00 	45.81 	205.00 	54 	571
48500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3642.00 	0 	1
48500 	P 	250.00 	300.00 	226.00 	300.00 	58.73 	250.00 	17 	63
48600 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3552.00 	0 	0
48600 	P 	324.00 	324.00 	324.00 	324.00 	64.47 	261.00 	1 	2
48700 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3464.00 	0 	0
48700 	P 	274.00 	332.00 	274.00 	332.00 	62.75 	272.00 	3 	14
48800 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3376.00 	0 	0
