time,open,high,low,close,New Moon,Full Moon,New Moon,First Moon,Waning,Full Moon,1/8,3/8,5/8,7/8,Spring,Summer,Fall,midwinter,New Moon,Full Moon,New Moon,Full Moon,Year Break,Quarter Break,Month Break,Week Break,Day Break,Basis,Upper,Lower
2025-05-12,39956.65,40207.47,39634.59,39921.61,,,,,,38797.10999999999,,,,,0,0,0,0,,,,,,,,,,37133.05700000002,40363.70833918718,33902.40566081287
2025-05-13,39925.17,40105.95,39890.04,40077.49,,40105.95,,,,,,,,,0,0,0,0,,40105.95,,,,,,,,37423.077000000034,40617.335804647606,34228.81819535246
2025-05-14,40097.11,40356.68,39983.8,40356.68,,,,,,,,,,,0,0,0,0,,,,,,,,,,37739.51950000003,40775.70308502315,34703.33591497691
2025-05-15,40193.51,40418.82,40074.43,40418.82,,,,,,,,,,,0,0,0,0,,,,,,,,,,38010.10350000003,40988.038799028014,35032.16820097204
2025-05-16,40541,40708.6,40468.75,40656.26,,,,,,,,,,,0,0,0,0,,,,,,,,,,38250.72550000003,41267.0767497196,35234.37425028046
2025-05-19,40022.16,40168.11,39822.66,40166.77,,,,,,,,,,,0,0,0,0,,,,,,,,,,38455.68550000003,41407.18548696346,35504.185513036595
2025-05-20,40343.8,40523.36,40155.41,40522.44,,,,,39787.46000000001,,,,,,0,0,0,0,,,,,,,,,,38682.78600000003,41534.797658328556,35830.7743416715
2025-05-21,40511.68,40631.05,40302.57,40551.22,,,,,,,,,,,0,0,0,0,,,,,,,,,,38912.95250000003,41582.098791356075,36243.80620864398
2025-05-22,40365.92,40377.04,40064.38,40256.59,,,,,,,,,,,0,0,0,0,,,,,,,,,,39102.89800000003,41579.8769036662,36625.91909633386
2025-05-23,40306.76,40359.25,38877.3,39475.36,,,,,,,,,,,0,0,0,0,,,,,,,,,,39236.23150000003,41481.08800302074,36991.37499697932
2025-05-26,40061.83,40110.93,39806.28,39988.48,,,,,,,,,,,0,0,0,0,,,,,,,,,,39368.23650000003,41458.704950609994,37277.76804939006
2025-05-27,40032.22,40277.52,39958.41,40124.9,39958.41,,40596.62999999999,,,,,,,,0,0,0,0,39958.41,,,,,,,,,39501.205500000025,41422.084787650674,37580.32621234938
2025-05-28,40205.35,40484.8,40122.07,40127.75,,,,,,,,,,,0,0,0,0,,,,,,,,,,39613.85550000003,41399.48067094866,37828.230329051396
2025-05-29,40429.05,40444.77,39909.5,39982.97,,,,,,,,,,,0,0,0,0,,,,,,,,,,39732.76300000002,41266.355400761175,38199.17059923887
2025-05-30,40009.55,40350.2,39994.56,40087.4,,,,,,,,,,,0,0,0,0,,,,,,,,,,39820.73600000002,41217.65997962277,38423.81202037727
2025-06-02,39954.76,40151.97,39692.78,39984.15,,,,,,,,,,,0,0,0,0,,,,,,,1,,,39896.16600000003,41149.98959899714,38642.34240100291
2025-06-03,40093.43,40120.55,39626.72,40074.47,,,,,,,,,,,0,0,0,0,,,,,,,,,,39971.87700000002,41066.66882806208,38877.085171937964
2025-06-04,40223.72,40238.53,39849.42,40080.88,,,,40627.64,,,,,,,0,0,0,0,,,,,,,,,,40059.92650000002,40849.94068351771,39269.91231648234
2025-06-05,40046.31,40379.6,39979,40379.29,,,,,,,,,,,0,0,0,0,,,,,,,,,,40130.17600000002,40753.92600655992,39506.42599344012
2025-06-06,40327.21,40650.54,40257.11,40601.94,,,,,,,,,,,0,0,0,0,,,,,,,,,,40191.773500000025,40742.06684547859,39641.48015452146
2025-06-09,40603.54,40675.72,40374.27,40461.79,,,,,,,,,,,0,0,0,0,,,,,,,,,,40218.78250000002,40766.403665097816,39671.16133490223
2025-06-10,40509.9,40533.6,40207.57,40207.57,,,,,,39881.54,,,,,0,0,0,0,,,,,,,,,,40225.286500000024,40769.11750529412,39681.45549470593
2025-06-11,40260.25,40351.77,40020.34,40180.24,,40351.77,,,,,,,,,0,0,0,0,,40351.77,,,,,,,,40216.46450000002,40757.19903620956,39675.72996379047
2025-06-12,39904.94,40077.75,39603.34,39948.39,,,,,,,,,,,0,0,0,0,,,,,,,,,,40192.94300000002,40737.336270194304,39648.54972980574
2025-06-13,39397.1,39584.33,39199.89,39438.75,,,,,,,,,,,0,0,0,0,,,,,,,,,,40132.06750000002,40725.67478969974,39538.4602103003
2025-06-16,39558.15,39929.83,39557.07,39929.18,,,,,,,,,,,0,0,0,0,,,,,,,,,,40120.188000000024,40720.01875874097,39520.35724125908
2025-06-17,39668.33,39677.05,39295.87,39387.22,,,,,,,,,,,0,0,0,0,,,,,,,,,,40063.42700000002,40713.03979094045,39413.81420905959
2025-06-18,39446.01,39546.48,39230.31,39418.61,,,,,,,,,,,0,0,0,0,,,,,,,,,,40006.79650000002,40673.68338288206,39339.90961711798
2025-06-19,39261.5,39319.52,38940.6,38942.19,,,,,38462.59,,,,,,0,0,0,0,,,,,,,,,,39941.076500000025,40742.11312987334,39140.03987012671
2025-06-20,39105.16,39514.43,39041.46,39231.35,,,,,,,,,,,0,0,0,0,,,,,,,,,,39928.876000000026,40764.59619413421,39093.15580586584
2025-06-23,38915.67,39140.86,38605.47,38840.51,,,,,,,,,,,0,0,0,0,,,,,,,,,,39871.47750000002,40831.398056245824,38911.55694375422
2025-06-24,39452.4,39526.73,39279.91,39474.46,,,,,,,,,,,0,0,0,0,,,,,,,,,,39838.955500000025,40806.373061721235,38871.537938278816
2025-06-25,39613.08,39651.18,39237.57,39319.14,,,40064.79,,,,,,,,0,0,0,0,,,,,,,,,,39798.52500000002,40781.74390521307,38815.306094786974
2025-06-26,39435.31,39547.39,39114.99,39351.32,39114.99,,,,,,,,,,0,0,0,0,39114.99,,,,,,,,,39766.94250000002,40764.90245367764,38768.9825463224
2025-06-27,39586.28,39742.21,39346.31,39742.21,,,,,,,,,,,0,0,0,0,,,,,,,,,,39749.68300000003,40736.75758949751,38762.608410502544
2025-06-30,39893.27,39895.37,39598.83,39792.22,,,,,,,,,,,0,0,0,0,,,,,,,,,,39740.08650000003,40721.57251540581,38758.600484594244
2025-07-01,39754.14,39763.07,39480.65,39561.3,,,,,,,,,,,0,0,0,0,,,,,,1,1,,,39714.42800000003,40686.39087040675,38742.46512959331
2025-07-02,39755.44,39889.81,39520.56,39785.28,,,,,,,,,,,0,0,0,0,,,,,,,,,,39699.64800000003,40657.763136801885,38741.532863198176
2025-07-03,39860.05,39944.83,39605.13,39943.15,,,,,,,,,,,0,0,0,0,,,,,,,,,,39677.84100000003,40591.929852104455,38763.752147895604
2025-07-04,39875.23,39936.93,39544.65,39622.11,,,,40335.43,,,,,,,0,0,0,0,,,,,,,,,,39628.849500000026,40438.65636448401,38819.04263551604
2025-07-07,39618.2,39930.03,39580.69,39914.25,,,,,,,,,,,0,0,0,0,,,,,,,,,,39601.472500000025,40329.70451730033,38873.24048269972
2025-07-08,40017.22,40233.41,39825.85,40182.62,,,,,,,,,,,0,0,0,0,,,,,,,,,,39600.22500000003,40324.37366805486,38876.076331945194
2025-07-10,40951.56,40965.75,40514.09,40528.17,,,,,,39730.96,,,,,0,0,0,0,,,,,,,,,,39617.62150000002,40410.1577106294,38825.08528937065
2025-07-11,40428.2,40490.47,39869.47,40077.88,,40490.47,,,,,,,,,0,0,0,0,,40490.47,,,,,,,,39624.096000000034,40429.348746533564,38818.843253466504
2025-07-14,39675.27,40189.61,39649.86,40186.35,,,,,,,,,,,0,0,0,0,,,,,,,,,,39661.47600000003,40497.65672948402,38825.29527051604
2025-07-15,40280.86,40342.83,39906.59,39921.25,,,,,,,,,,,0,0,0,0,,,,,,,,,,39661.07950000003,40496.759464702765,38825.39953529729
2025-07-16,39815.99,40108.19,39752.68,39762.52,,,,,,,,,,,0,0,0,0,,,,,,,,,,39679.84450000002,40506.89391349868,38852.79508650136
2025-07-17,40055.05,40130.36,39877.9,40128.7,,,,,,,,,,,0,0,0,0,,,,,,,,,,39715.34900000003,40555.35734130508,38875.34065869498
2025-07-18,40284.13,40402.95,40239.79,40311.99,,,,,39965.54,,,,,,0,0,0,0,,,,,,,,,,39783.83900000002,40582.895707489675,38984.78229251037
2025-07-21,40138.54,40171.94,39870.24,40166.6,,,,,,,,,,,0,0,0,0,,,,,,,,,,39830.60150000003,40603.904205126084,39057.29879487398
2025-07-22,40080.31,40215.27,39947.11,40165.15,,,,,,,,,,,0,0,0,0,,,,,,,,,,39896.83350000003,40534.62552453257,39259.04147546749
2025-07-23,40508.22,40991.39,40435.66,40697.49,,,,,,,,,,,0,0,0,0,,,,,,,,,,39957.98500000003,40653.93825579169,39262.03174420837
2025-07-24,41077.74,41136.28,40441.43,40599.68,,,,,,,,,,,0,0,0,0,,,,,,,,,,40022.01200000003,40706.61627630134,39337.40772369872
2025-07-25,40574.51,40810.17,40423.48,40726.26,40423.48,,41196.85999999999,,,,,,,,0,0,0,0,40423.48,,,,,,,,,40090.759000000035,40768.25875086436,39413.259249135706
2025-07-28,41097.25,41210.93,40665.36,40732.34,,,,,,,,,,,0,0,0,0,,,,,,,,,,40140.26550000004,40852.46652013634,39428.06447986374
2025-07-29,40817.25,41373.41,40817.25,41234.31,,,,,,,,,,,0,0,0,0,,,,,,,,,,40212.37000000004,41049.98184147732,39374.75815852276
2025-07-30,41184.42,41749.29,41132.62,41637.73,,,,,,,,,,,0,0,0,0,,,,,,,,,,40316.19150000004,41306.156033948,39326.226966052076
