
6 July 2026 
 
 
Jul 2026 Prices - 6 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
35000	C	0.00	0.00	0.00	0.00	N/A	18020.00	0	0
35000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	66
35500	C	0.00	0.00	0.00	0.00	N/A	17521.00	0	0
35500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	49
36000	C	0.00	0.00	0.00	0.00	N/A	17021.00	0	0
36000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	20
36500	C	0.00	0.00	0.00	0.00	N/A	16521.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	0
37000	C	0.00	0.00	0.00	0.00	N/A	16022.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	49
37500	C	0.00	0.00	0.00	0.00	N/A	15522.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
38000	C	0.00	0.00	0.00	0.00	N/A	15023.00	0	0
38000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	3
38500	C	0.00	0.00	0.00	0.00	N/A	14523.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
39000	C	0.00	0.00	0.00	0.00	N/A	14024.00	0	0
39000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	10
39500	C	0.00	0.00	0.00	0.00	N/A	13524.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
40000	C	0.00	0.00	0.00	0.00	N/A	13024.00	0	3
40000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	31
40500	C	0.00	0.00	0.00	0.00	N/A	12525.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
41000	C	0.00	0.00	0.00	0.00	N/A	12025.00	0	0
41000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	23
41500	C	0.00	0.00	0.00	0.00	N/A	11526.00	0	0
41500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	6
42000	C	0.00	0.00	0.00	0.00	N/A	11026.00	0	0
42000	P	3.00	3.00	3.00	3.00	N/A	0.00	4	21
42500	C	0.00	0.00	0.00	0.00	N/A	10526.00	0	0
42500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	3
43000	C	0.00	0.00	0.00	0.00	N/A	10027.00	0	0
43000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	523
