

Jul 2026 Prices - 7 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
35000	C	0.00	0.00	0.00	0.00	N/A	17519.00	0	0
35000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	66
35500	C	0.00	0.00	0.00	0.00	N/A	17019.00	0	0
35500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	49
36000	C	0.00	0.00	0.00	0.00	N/A	16520.00	0	0
36000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	20
36500	C	0.00	0.00	0.00	0.00	N/A	16020.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	0
37000	C	0.00	0.00	0.00	0.00	N/A	15520.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	49
37500	C	0.00	0.00	0.00	0.00	N/A	15021.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
38000	C	0.00	0.00	0.00	0.00	N/A	14521.00	0	0
38000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	3
38500	C	0.00	0.00	0.00	0.00	N/A	14022.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
39000	C	0.00	0.00	0.00	0.00	N/A	13522.00	0	0
39000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	10
39500	C	0.00	0.00	0.00	0.00	N/A	13022.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
40000	C	0.00	0.00	0.00	0.00	N/A	12523.00	0	3
40000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	31
40500	C	0.00	0.00	0.00	0.00	N/A	12023.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
41000	C	0.00	0.00	0.00	0.00	N/A	11524.00	0	0
41000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	23
41500	C	0.00	0.00	0.00	0.00	N/A	11024.00	0	0
41500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	6
42000	C	0.00	0.00	0.00	0.00	N/A	10525.00	0	0
42000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	17
42500	C	0.00	0.00	0.00	0.00	N/A	10025.00	0	0
42500	P	0.00	0.00	0.00	0.00	N/A	1.00	0	3
43000	C	0.00	0.00	0.00	0.00	N/A	9526.00	0	0
43000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	523
43500	C	0.00	0.00	0.00	0.00	N/A	9027.00	0	0
43500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	2
44000	C	0.00	0.00	0.00	0.00	N/A	8528.00	0	0
44000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	36
44500	C	0.00	0.00	0.00	0.00	N/A	8029.00	0	0
44500	P	0.00	0.00	0.00	0.00	N/A	3.00	0	37
45000	C	0.00	0.00	0.00	0.00	N/A	7531.00	0	0
45000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	24
45500	C	0.00	0.00	0.00	0.00	N/A	7032.00	0	0
45500	P	0.00	0.00	0.00	0.00	N/A	5.00	0	126
45600	C	0.00	0.00	0.00	0.00	N/A	6932.00	0	0
