
 
 
Jul 2026 Prices - 9 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
35000	C	0.00	0.00	0.00	0.00	N/A	17421.00	0	0
35000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	64
35500	C	0.00	0.00	0.00	0.00	N/A	16922.00	0	0
35500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	49
36000	C	0.00	0.00	0.00	0.00	N/A	16422.00	0	0
36000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	20
36500	C	0.00	0.00	0.00	0.00	N/A	15922.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	0
37000	C	0.00	0.00	0.00	0.00	N/A	15423.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	49
37500	C	0.00	0.00	0.00	0.00	N/A	14923.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
38000	C	0.00	0.00	0.00	0.00	N/A	14424.00	0	0
38000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	3
38500	C	0.00	0.00	0.00	0.00	N/A	13924.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
39000	C	0.00	0.00	0.00	0.00	N/A	13424.00	0	0
39000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	10
39500	C	0.00	0.00	0.00	0.00	N/A	12925.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	1.00	0	2
40000	C	0.00	0.00	0.00	0.00	N/A	12425.00	0	3
40000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	31
40500	C	0.00	0.00	0.00	0.00	N/A	11926.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	1.00	0	2
41000	C	0.00	0.00	0.00	0.00	N/A	11426.00	0	0
41000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	19
41500	C	0.00	0.00	0.00	0.00	N/A	10927.00	0	0
41500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	6
42000	C	0.00	0.00	0.00	0.00	N/A	10428.00	0	0
42000	P	0.00	0.00	0.00	0.00	N/A	2.00	0	17
42500	C	0.00	0.00	0.00	0.00	N/A	9928.00	0	0
42500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	3
43000	C	0.00	0.00	0.00	0.00	N/A	9429.00	0	0
43000	P	0.00	0.00	0.00	0.00	N/A	2.00	0	523
43500	C	0.00	0.00	0.00	0.00	N/A	8929.00	0	0
43500	P	0.00	0.00	0.00	0.00	N/A	3.00	0	2
44000	C	0.00	0.00	0.00	0.00	N/A	8430.00	0	0
44000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	36
44500	C	0.00	0.00	0.00	0.00	N/A	7930.00	0	0
44500	P	0.00	0.00	0.00	0.00	N/A	3.00	0	37
45000	C	0.00	0.00	0.00	0.00	N/A	7431.00	0	0
45000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	24
45500	C	0.00	0.00	0.00	0.00	N/A	6932.00	0	0
45500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	129
