
10 July 2026
 
Jul 2026 Prices - 10 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
35000	C	0.00	0.00	0.00	0.00	N/A	17667.00	0	-
35000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	-
35500	C	0.00	0.00	0.00	0.00	N/A	17167.00	0	-
35500	P	0.00	0.00	0.00	0.00	N/A	1.00	0	-
36000	C	0.00	0.00	0.00	0.00	N/A	16668.00	0	-
36000	P	0.00	0.00	0.00	0.00	N/A	2.00	0	-
36500	C	0.00	0.00	0.00	0.00	N/A	16168.00	0	-
36500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	-
37000	C	0.00	0.00	0.00	0.00	N/A	15669.00	0	-
37000	P	0.00	0.00	0.00	0.00	N/A	2.00	0	-
37500	C	0.00	0.00	0.00	0.00	N/A	15169.00	0	-
37500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	-
38000	C	0.00	0.00	0.00	0.00	N/A	14670.00	0	-
38000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	-
38500	C	0.00	0.00	0.00	0.00	N/A	14170.00	0	-
38500	P	0.00	0.00	0.00	0.00	N/A	3.00	0	-
39000	C	0.00	0.00	0.00	0.00	N/A	13671.00	0	-
39000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	-
39500	C	0.00	0.00	0.00	0.00	N/A	13171.00	0	-
39500	P	0.00	0.00	0.00	0.00	N/A	3.00	0	-
40000	C	0.00	0.00	0.00	0.00	N/A	12672.00	0	-
40000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
40500	C	0.00	0.00	0.00	0.00	N/A	12172.00	0	-
40500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
41000	C	0.00	0.00	0.00	0.00	N/A	11673.00	0	-
41000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
41500	C	0.00	0.00	0.00	0.00	N/A	11173.00	0	-
41500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
42000	C	0.00	0.00	0.00	0.00	N/A	10673.00	0	-
42000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
42500	C	0.00	0.00	0.00	0.00	N/A	10174.00	0	-
42500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
43000	C	0.00	0.00	0.00	0.00	N/A	9674.00	0	-
43000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
43500	C	0.00	0.00	0.00	0.00	N/A	9174.00	0	-
43500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
44000	C	0.00	0.00	0.00	0.00	N/A	8675.00	0	-
44000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
44500	C	0.00	0.00	0.00	0.00	N/A	8175.00	0	-
44500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
45000	C	0.00	0.00	0.00	0.00	N/A	7675.00	0	-
45000	P	2.00	2.00	2.00	2.00	-1.00	4.00	1	-
45500	C	0.00	0.00	0.00	0.00	N/A	7176.00	0	-
45500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	-
45600	C	0.00	0.00	0.00	0.00	N/A	7076.00	0	-
45600	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
45700	C	0.00	0.00	0.00	0.00	N/A	6976.00	0	-
45700	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
45800	C	0.00	0.00	0.00	0.00	N/A	6876.00	0	-
45800	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
45900	C	0.00	0.00	0.00	0.00	N/A	6776.00	0	-
45900	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46000	C	0.00	0.00	0.00	0.00	N/A	6676.00	0	-
46000	P	3.00	3.00	3.00	3.00	-1.00	5.00	1	-
46100	C	0.00	0.00	0.00	0.00	N/A	6576.00	0	-
46100	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46200	C	0.00	0.00	0.00	0.00	N/A	6476.00	0	-
46200	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46300	C	0.00	0.00	0.00	0.00	N/A	6376.00	0	-
46300	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46400	C	0.00	0.00	0.00	0.00	N/A	6277.00	0	-
46400	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46500	C	0.00	0.00	0.00	0.00	N/A	6177.00	0	-
46500	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46600	C	0.00	0.00	0.00	0.00	N/A	6077.00	0	-
46600	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46700	C	0.00	0.00	0.00	0.00	N/A	5977.00	0	-
46700	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46800	C	0.00	0.00	0.00	0.00	N/A	5877.00	0	-
46800	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
46900	C	0.00	0.00	0.00	0.00	N/A	5777.00	0	-
46900	P	0.00	0.00	0.00	0.00	N/A	5.00	0	-
47000	C	0.00	0.00	0.00	0.00	N/A	5677.00	0	-
47000	P	6.00	6.00	6.00	6.00	-2.00	5.00	1	-
47100	C	0.00	0.00	0.00	0.00	N/A	5578.00	0	-
47100	P	0.00	0.00	0.00	0.00	N/A	6.00	0	-
47200	C	0.00	0.00	0.00	0.00	N/A	5478.00	0	-
47200	P	0.00	0.00	0.00	0.00	N/A	6.00	0	-
47300	C	0.00	0.00	0.00	0.00	N/A	5378.00	0	-
47300	P	0.00	0.00	0.00	0.00	N/A	6.00	0	-
47400	C	0.00	0.00	0.00	0.00	N/A	5278.00	0	-
47400	P	0.00	0.00	0.00	0.00	N/A	6.00	0	-
47500	C	0.00	0.00	0.00	0.00	N/A	5178.00	0	-
47500	P	6.00	7.00	6.00	7.00	-2.00	6.00	2	-
47600	C	0.00	0.00	0.00	0.00	N/A	5079.00	0	-
47600	P	0.00	0.00	0.00	0.00	N/A	6.00	0	-
47700	C	0.00	0.00	0.00	0.00	N/A	4979.00	0	-
47700	P	0.00	0.00	0.00	0.00	N/A	7.00	0	-
47800	C	0.00	0.00	0.00	0.00	N/A	4879.00	0	-
47800	P	0.00	0.00	0.00	0.00	N/A	7.00	0	-
47900	C	0.00	0.00	0.00	0.00	N/A	4779.00	0	-
47900	P	0.00	0.00	0.00	0.00	N/A	7.00	0	-
48000	C	0.00	0.00	0.00	0.00	N/A	4680.00	0	-
