 
Aug 2026 Prices - 16 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
36000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	16355.00 	0 	0
36000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	5.00 	0 	38
36500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	15857.00 	0 	0
36500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	6.00 	0 	5
37000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	15360.00 	0 	0
37000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	7.00 	0 	15
37500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14862.00 	0 	0
37500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	8.00 	0 	3
38000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14366.00 	0 	1
38000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	11.00 	0 	1
38500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13869.00 	0 	0
38500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	12.00 	0 	0
39000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13366.00 	0 	0
39000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	9.00 	0 	31
39500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12874.00 	0 	0
39500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	15.00 	0 	6
40000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12378.00 	0 	0
40000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	17.00 	0 	9
40500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11881.00 	0 	0
40500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	19.00 	0 	92
41000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11384.00 	0 	0
41000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	21.00 	0 	13
41500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10888.00 	0 	0
41500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	24.00 	0 	8
42000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10392.00 	0 	0
42000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	26.00 	1170 	1215
42500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9897.00 	0 	0
42500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	30.00 	0 	7
43000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9403.00 	0 	1
43000 	P 	40.00 	40.00 	40.00 	40.00 	5.26 	35.00 	1 	43
43500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8910.00 	0 	0
43500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	40.00 	0 	1
44000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8417.00 	0 	0
44000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	46.00 	0 	32
44500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	7924.00 	0 	0
44500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	52.00 	0 	454
45000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	7433.00 	0 	1
45000 	P 	66.00 	66.00 	66.00 	66.00 	3.13 	59.00 	1 	257
45500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	6943.00 	0 	0
45500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	68.00 	0 	10
46000 	C 	6075.00 	6100.00 	6075.00 	6100.00 	-6.25 	6455.00 	3 	3
46000 	P 	90.00 	95.00 	89.00 	91.00 	5.81 	79.00 	5 	102
46500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5970.00 	0 	0
46500 	P 	114.00 	114.00 	114.00 	114.00 	15.15 	93.00 	40 	350
47000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5488.00 	0 	1
47000 	P 	122.00 	128.00 	120.00 	128.00 	8.47 	109.00 	3 	101
47500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5010.00 	0 	1
47500 	P 	160.00 	160.00 	160.00 	160.00 	15.11 	129.00 	5 	39
48000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4536.00 	0 	0
48000 	P 	172.00 	208.00 	172.00 	172.00 	2.38 	155.00 	27 	548
48500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4071.00 	0 	1
48500 	P 	230.00 	234.00 	204.00 	204.00 	0.49 	189.00 	14 	48
48600 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	3980.00 	0 	0
48600 	P 	232.00 	232.00 	232.00 	232.00 	9.95 	197.00 	1 	2
