Aug 2026 Prices - 1 July 2026

Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
36000	C	0.00	0.00	0.00	0.00	N/A	15645.00	0	0
36000	P	0.00	0.00	0.00	0.00	N/A	12.00	0	38
36500	C	0.00	0.00	0.00	0.00	N/A	15150.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	15.00	0	5
37000	C	0.00	0.00	0.00	0.00	N/A	14654.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	17.00	0	15
37500	C	0.00	0.00	0.00	0.00	N/A	14158.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	19.00	0	3
38000	C	0.00	0.00	0.00	0.00	N/A	13662.00	0	1
38000	P	0.00	0.00	0.00	0.00	N/A	22.00	0	1
38500	C	0.00	0.00	0.00	0.00	N/A	13167.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	24.00	0	1
39000	C	0.00	0.00	0.00	0.00	N/A	12670.00	0	0
39000	P	0.00	0.00	0.00	0.00	N/A	26.00	0	32
39500	C	0.00	0.00	0.00	0.00	N/A	12176.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	30.00	0	6
40000	C	0.00	0.00	0.00	0.00	N/A	11681.00	0	0
40000	P	0.00	0.00	0.00	0.00	N/A	33.00	0	11
40500	C	0.00	0.00	0.00	0.00	N/A	11186.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	37.00	0	92
41000	C	0.00	0.00	0.00	0.00	N/A	10693.00	0	0
41000	P	0.00	0.00	0.00	0.00	N/A	41.00	1	12
41500	C	0.00	0.00	0.00	0.00	N/A	10200.00	0	0
41500	P	0.00	0.00	0.00	0.00	N/A	46.00	0	8
42000	C	0.00	0.00	0.00	0.00	N/A	9708.00	0	0
42000	P	0.00	0.00	0.00	0.00	N/A	52.00	0	1230
42500	C	0.00	0.00	0.00	0.00	N/A	9216.00	0	0
42500	P	0.00	0.00	0.00	0.00	N/A	58.00	0	4
43000	C	0.00	0.00	0.00	0.00	N/A	8724.00	0	1
43000	P	0.00	0.00	0.00	0.00	N/A	66.00	0	41
43500	C	0.00	0.00	0.00	0.00	N/A	8235.00	0	0
43500	P	0.00	0.00	0.00	0.00	N/A	75.00	0	1
44000	C	0.00	0.00	0.00	0.00	N/A	7748.00	0	0
44000	P	0.00	0.00	0.00	0.00	N/A	85.00	1	18
44500	C	0.00	0.00	0.00	0.00	N/A	7261.00	0	0
44500	P	0.00	0.00	0.00	0.00	N/A	97.00	0	453
45000	C	0.00	0.00	0.00	0.00	N/A	6777.00	0	1
45000	P	0.00	0.00	0.00	0.00	N/A	111.00	0	254
45500	C	0.00	0.00	0.00	0.00	N/A	6295.00	0	0
45500	P	0.00	0.00	0.00	0.00	N/A	127.00	0	52
46000	C	0.00	0.00	0.00	0.00	N/A	5819.00	0	0
46000	P	0.00	0.00	0.00	0.00	N/A	149.00	3	88
46500	C	0.00	0.00	0.00	0.00	N/A	5345.00	0	0
46500	P	0.00	0.00	0.00	0.00	N/A	173.00	1	347
47000	C	0.00	0.00	0.00	0.00	N/A	4878.00	0	0
47000	P	0.00	0.00	0.00	0.00	N/A	205.00	5	55
47500	C	0.00	0.00	0.00	0.00	N/A	4420.00	0	1
47500	P	0.00	0.00	0.00	0.00	N/A	244.00	1	29
48000	C	0.00	0.00	0.00	0.00	N/A	3968.00	0	0
48000	P	0.00	0.00	0.00	0.00	N/A	291.00	471	544
48500	C	0.00	0.00	0.00	0.00	N/A	3525.00	0	0
48500	P	0.00	0.00	0.00	0.00	N/A	346.00	0	38
48600	C	0.00	0.00	0.00	0.00	N/A	3439.00	0	0
48600	P	0.00	0.00	0.00	0.00	N/A	359.00	0	1
48700	C	0.00	0.00	0.00	0.00	N/A	3353.00	0	0
48700	P	0.00	0.00	0.00	0.00	N/A	373.00	0	1
48800	C	0.00	0.00	0.00	0.00	N/A	3267.00	0	0
