
  
Jul 2026 Prices - 8 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
35000	C	0.00	0.00	0.00	0.00	N/A	16863.00	0	0
35000	P	2.00	2.00	2.00	2.00	N/A	0.00	2	66
35500	C	0.00	0.00	0.00	0.00	N/A	16363.00	0	0
35500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	49
36000	C	0.00	0.00	0.00	0.00	N/A	15863.00	0	0
36000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	20
36500	C	0.00	0.00	0.00	0.00	N/A	15364.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	0
37000	C	0.00	0.00	0.00	0.00	N/A	14864.00	0	0
37000	P	4.00	4.00	3.00	3.00	N/A	0.00	18	67
37500	C	0.00	0.00	0.00	0.00	N/A	14364.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
38000	C	0.00	0.00	0.00	0.00	N/A	13865.00	0	0
38000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	3
38500	C	0.00	0.00	0.00	0.00	N/A	13365.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
39000	C	0.00	0.00	0.00	0.00	N/A	12865.00	0	0
39000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	10
39500	C	0.00	0.00	0.00	0.00	N/A	12366.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
40000	C	0.00	0.00	0.00	0.00	N/A	11866.00	0	3
40000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	31
40500	C	0.00	0.00	0.00	0.00	N/A	11366.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	2
41000	C	0.00	0.00	0.00	0.00	N/A	10867.00	0	0
41000	P	10.00	10.00	10.00	10.00	N/A	0.00	4	23
41500	C	0.00	0.00	0.00	0.00	N/A	10367.00	0	0
41500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	6
42000	C	0.00	0.00	0.00	0.00	N/A	9868.00	0	0
42000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	17
42500	C	0.00	0.00	0.00	0.00	N/A	9369.00	0	0
42500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	3
43000	C	0.00	0.00	0.00	0.00	N/A	8871.00	0	0
43000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	523
43500	C	0.00	0.00	0.00	0.00	N/A	8374.00	0	0
43500	P	0.00	0.00	0.00	0.00	N/A	5.00	0	2
44000	C	0.00	0.00	0.00	0.00	N/A	7876.00	0	0
44000	P	0.00	0.00	0.00	0.00	N/A	8.00	0	36
44500	C	0.00	0.00	0.00	0.00	N/A	7378.00	0	0
44500	P	0.00	0.00	0.00	0.00	N/A	9.00	0	37
45000	C	0.00	0.00	0.00	0.00	N/A	6878.00	0	0
45000	P	0.00	0.00	0.00	0.00	N/A	9.00	0	24
45500	C	0.00	0.00	0.00	0.00	N/A	6380.00	0	0
45500	P	12.00	13.00	11.00	12.00	140.00	11.00	16	129
45600	C	0.00	0.00	0.00	0.00	N/A	6282.00	0	0
45600	P	13.00	13.00	11.00	11.00	83.33	12.00	2	14
45700	C	0.00	0.00	0.00	0.00	N/A	6181.00	0	0
45700	P	20.00	20.00	20.00	20.00	233.33	12.00	1	2
45800	C	0.00	0.00	0.00	0.00	N/A	6082.00	0	0
45800	P	0.00	0.00	0.00	0.00	N/A	12.00	0	2
