
 
Aug 2026 Prices - 22 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
36000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	16876.00 	0 	0
36000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	3.00 	0 	38
36500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	16378.00 	0 	0
36500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	4.00 	0 	5
37000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	15879.00 	0 	0
37000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	4.00 	0 	15
37500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	15381.00 	0 	0
37500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	5.00 	0 	3
38000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14883.00 	0 	1
38000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	6.00 	0 	1
38500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14385.00 	0 	0
38500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	6.00 	0 	0
39000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13887.00 	0 	0
39000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	7.00 	0 	31
39500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13389.00 	0 	0
39500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	9.00 	0 	6
40000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12892.00 	0 	0
40000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	10.00 	0 	9
40500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12393.00 	0 	0
40500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	10.00 	0 	92
41000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11895.00 	0 	0
41000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	11.00 	0 	13
41500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11397.00 	0 	0
41500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	12.00 	0 	8
42000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10900.00 	0 	0
42000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	14.00 	0 	1215
42500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10403.00 	0 	0
42500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	16.00 	0 	7
43000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9908.00 	0 	1
43000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	20.00 	0 	51
43500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9411.00 	0 	0
43500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	22.00 	0 	1
44000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8918.00 	0 	0
44000 	P 	28.00 	28.00 	28.00 	28.00 	12.00 	27.00 	1 	55
44500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8421.00 	0 	0
44500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	30.00 	0 	457
45000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	7928.00 	0 	1
45000 	P 	38.00 	38.00 	38.00 	38.00 	0.00 	36.00 	4 	257
45500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	7434.00 	0 	0
45500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	40.00 	0 	11
46000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	6942.00 	0 	3
46000 	P 	53.00 	53.00 	47.00 	47.00 	-17.54 	47.00 	4 	155
46500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	6452.00 	0 	0
46500 	P 	69.00 	70.00 	56.00 	56.00 	-20.00 	56.00 	10 	359
47000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5966.00 	0 	1
47000 	P 	70.00 	70.00 	70.00 	70.00 	-19.54 	69.00 	1 	112
47500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	5480.00 	0 	1
47500 	P 	88.00 	88.00 	84.00 	84.00 	-22.22 	82.00 	4 	48
48000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4998.00 	0 	0
48000 	P 	116.00 	116.00 	96.00 	100.00 	-25.37 	98.00 	31 	576
48500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	4521.00 	0 	1
48500 	P 	158.00 	158.00 	128.00 	128.00 	-23.35 	121.00 	3 	65
