Sep 2026 Prices - 30 July 2026

Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
30000	C	0.00	0.00	0.00	0.00	N/A	22197.00	0	1
30000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	94
30500	C	0.00	0.00	0.00	0.00	N/A	21699.00	0	0
30500	P	0.00	0.00	0.00	0.00	N/A	5.00	0	43
31000	C	0.00	0.00	0.00	0.00	N/A	21202.00	0	0
31000	P	0.00	0.00	0.00	0.00	N/A	6.00	0	17
31500	C	0.00	0.00	0.00	0.00	N/A	20705.00	0	0
31500	P	0.00	0.00	0.00	0.00	N/A	7.00	0	22
32000	C	0.00	0.00	0.00	0.00	N/A	20207.00	0	0
32000	P	0.00	0.00	0.00	0.00	N/A	8.00	0	79
32500	C	0.00	0.00	0.00	0.00	N/A	19710.00	0	0
32500	P	0.00	0.00	0.00	0.00	N/A	9.00	0	43
33000	C	0.00	0.00	0.00	0.00	N/A	19214.00	0	1
33000	P	0.00	0.00	0.00	0.00	N/A	11.00	0	751
33500	C	0.00	0.00	0.00	0.00	N/A	18717.00	0	0
33500	P	0.00	0.00	0.00	0.00	N/A	12.00	0	1
34000	C	0.00	0.00	0.00	0.00	N/A	18219.00	0	0
34000	P	0.00	0.00	0.00	0.00	N/A	12.00	0	23
34500	C	0.00	0.00	0.00	0.00	N/A	17723.00	0	0
34500	P	0.00	0.00	0.00	0.00	N/A	14.00	0	14
35000	C	0.00	0.00	0.00	0.00	N/A	17226.00	0	2
35000	P	0.00	0.00	0.00	0.00	N/A	15.00	0	69
35500	C	0.00	0.00	0.00	0.00	N/A	16729.00	0	0
35500	P	0.00	0.00	0.00	0.00	N/A	17.00	0	38
36000	C	0.00	0.00	0.00	0.00	N/A	16233.00	0	13
36000	P	0.00	0.00	0.00	0.00	N/A	19.00	0	153
36500	C	0.00	0.00	0.00	0.00	N/A	15737.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	21.00	0	50
37000	C	0.00	0.00	0.00	0.00	N/A	15240.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	22.00	0	813
37500	C	0.00	0.00	0.00	0.00	N/A	14745.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	26.00	0	36
38000	C	0.00	0.00	0.00	0.00	N/A	14250.00	0	2
38000	P	0.00	0.00	0.00	0.00	N/A	28.00	0	81
38500	C	0.00	0.00	0.00	0.00	N/A	13754.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	31.00	0	37
39000	C	0.00	0.00	0.00	0.00	N/A	13259.00	0	4
