Sep 2026 Prices - 9 September 2026

Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
30000	C	0.00	0.00	0.00	0.00	N/A	21900.00	0	1
30000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	100
30500	C	0.00	0.00	0.00	0.00	N/A	21400.00	0	0
30500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	43
31000	C	0.00	0.00	0.00	0.00	N/A	20900.00	0	0
31000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	17
31500	C	0.00	0.00	0.00	0.00	N/A	20401.00	0	0
31500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	22
32000	C	0.00	0.00	0.00	0.00	N/A	19901.00	0	0
32000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	79
32500	C	0.00	0.00	0.00	0.00	N/A	19402.00	0	0
32500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	43
33000	C	0.00	0.00	0.00	0.00	N/A	18902.00	0	1
33000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	751
33500	C	0.00	0.00	0.00	0.00	N/A	18402.00	0	0
33500	P	0.00	0.00	0.00	0.00	N/A	0.00	0	1
34000	C	0.00	0.00	0.00	0.00	N/A	17903.00	0	0
34000	P	0.00	0.00	0.00	0.00	N/A	0.00	0	23
34500	C	0.00	0.00	0.00	0.00	N/A	17403.00	0	0
34500	P	0.00	0.00	0.00	0.00	N/A	1.00	0	14
35000	C	0.00	0.00	0.00	0.00	N/A	16904.00	0	1
35000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	68
35500	C	0.00	0.00	0.00	0.00	N/A	16405.00	0	0
35500	P	0.00	0.00	0.00	0.00	N/A	1.00	0	38
36000	C	0.00	0.00	0.00	0.00	N/A	15905.00	0	13
36000	P	0.00	0.00	0.00	0.00	N/A	1.00	0	154
36500	C	0.00	0.00	0.00	0.00	N/A	15406.00	0	0
36500	P	0.00	0.00	0.00	0.00	N/A	2.00	0	50
37000	C	0.00	0.00	0.00	0.00	N/A	14907.00	0	0
37000	P	0.00	0.00	0.00	0.00	N/A	2.00	0	813
37500	C	0.00	0.00	0.00	0.00	N/A	14408.00	0	0
37500	P	0.00	0.00	0.00	0.00	N/A	3.00	0	36
38000	C	0.00	0.00	0.00	0.00	N/A	13908.00	0	2
38000	P	0.00	0.00	0.00	0.00	N/A	3.00	0	94
38500	C	0.00	0.00	0.00	0.00	N/A	13409.00	0	0
38500	P	0.00	0.00	0.00	0.00	N/A	4.00	0	37
39000	C	0.00	0.00	0.00	0.00	N/A	12910.00	0	4
39000	P	0.00	0.00	0.00	0.00	N/A	4.00	0	93
39500	C	0.00	0.00	0.00	0.00	N/A	12411.00	0	0
39500	P	0.00	0.00	0.00	0.00	N/A	5.00	0	39
40000	C	0.00	0.00	0.00	0.00	N/A	11912.00	0	5
40000	P	0.00	0.00	0.00	0.00	N/A	6.00	0	169
40500	C	0.00	0.00	0.00	0.00	N/A	11413.00	0	0
40500	P	0.00	0.00	0.00	0.00	N/A	6.00	0	23
41000	C	0.00	0.00	0.00	0.00	N/A	10915.00	0	12
41000	P	0.00	0.00	0.00	0.00	N/A	7.00	0	771
41500	C	0.00	0.00	0.00	0.00	N/A	10416.00	0	4
41500	P	0.00	0.00	0.00	0.00	N/A	8.00	0	76
42000	C	0.00	0.00	0.00	0.00	N/A	9917.00	0	10
42000	P	0.00	0.00	0.00	0.00	N/A	9.00	0	67
42500	C	0.00	0.00	0.00	0.00	N/A	9418.00	0	22
42500	P	0.00	0.00	0.00	0.00	N/A	9.00	0	46
43000	C	0.00	0.00	0.00	0.00	N/A	8919.00	0	3
43000	P	0.00	0.00	0.00	0.00	N/A	10.00	1	182
43500	C	0.00	0.00	0.00	0.00	N/A	8421.00	0	77
43500	P	0.00	0.00	0.00	0.00	N/A	12.00	3	260
44000	C	0.00	0.00	0.00	0.00	N/A	7920.00	0	47
44000	P	0.00	0.00	0.00	0.00	N/A	11.00	11	268
44500	C	0.00	0.00	0.00	0.00	N/A	7423.00	0	4
44500	P	0.00	0.00	0.00	0.00	N/A	13.00	1	846
45000	C	0.00	0.00	0.00	0.00	N/A	6922.00	1	870
45000	P	0.00	0.00	0.00	0.00	N/A	12.00	1	808
45500	C	0.00	0.00	0.00	0.00	N/A	6424.00	0	8
45500	P	0.00	0.00	0.00	0.00	N/A	14.00	2	57
46000	C	0.00	0.00	0.00	0.00	N/A	5929.00	0	36
46000	P	0.00	0.00	0.00	0.00	N/A	18.00	17	212
